SPEEDELEC Booster; 35; 10900; false; 13200; green; 1279
FOLDING BIKE Benetti; 14; 27; 10200; false; khaki; 1129
E-BIKE Mando Footloose; 65; 22500; true; 30000; lemon; 1365
SPEEDELEC Xiaomi; 20; 17400; true; 4200; emerald; 785
E-BIKE Ecofect; 20; 27300; false; 16000; golden; 1595
E-BIKE Lankeleisi; 25; 26600; true; 9000; yellow; 3289
E-BIKE Rover; 65; 25100; false; 29000; grey; 2939
SPEEDELEC Tesla; 20; 19700; true; 2200; violet; 799
E-BIKE SkyBike; 55; 28600; true; 30000; black; 2159
SPEEDELEC EcoRide; 30; 13400; false; 11500; lemon; 1615
SPEEDELEC Speedelec Minirider; 15; 18800; false; 13100; white; 729
E-BIKE ElectrO; 50; 28100; false; 11000; silver; 3139
SPEEDELEC EcoRide; 65; 21700; false; 12900; flame; 795
E-BIKE Farad; 30; 22500; true; 10000; rose; 1745
FOLDING BIKE Benetti; 18; 7; 10900; true; beige; 1165
FOLDING BIKE Titan; 24; 7; 16500; true; golden; 1295
SPEEDELEC Booster; 65; 20300; false; 15500; red; 175
E-BIKE Porshe Design; 60; 27000; false; 13000; marine; 659
SPEEDELEC AirWheel; 15; 11200; false; 11200; pink; 419
SPEEDELEC Ultron; 45; 21000; false; 3700; beige; 239
E-BIKE Zaxboard; 60; 28900; false; 14000; black; 3115
E-BIKE Lankeleisi; 65; 25100; false; 25000; khaki; 2859
E-BIKE E-Motion; 45; 19600; false; 24000; silver; 1489
FOLDING BIKE Flex; 20; 7; 8500; false; flame; 455
FOLDING BIKE Stern; 20; 1; 9500; false; coral; 1055
FOLDING BIKE Trinx; 20; 27; 14600; false; pink; 465
E-BIKE Ferrari; 35; 20600; true; 10000; emerald; 805
FOLDING BIKE Stern; 24; 24; 14400; true; marine; 705
FOLDING BIKE BMW; 16; 9; 12600; false; emerald; 1649
SPEEDELEC Booster; 45; 7500; false; 6500; coral; 1175
FOLDING BIKE West Bike; 14; 9; 16200; false; dark gray; 209
FOLDING BIKE Dahon; 20; 8; 16900; true; dark gray; 1595
E-BIKE Scott; 20; 19800; false; 9000; lemon; 1455
SPEEDELEC Kugoo; 55; 14000; true; 12400; marine; 1489
FOLDING BIKE Titan; 20; 8; 8800; true; yellow; 1665
E-BIKE Scott; 35; 24500; false; 14000; flame; 1775
E-BIKE ION; 45; 21300; false; 14000; brown; 3149
FOLDING BIKE Trinx; 26; 7; 11600; true; grey; 1099
SPEEDELEC Segway; 20; 13300; false; 5900; silver; 335
SPEEDELEC AirWheel; 40; 7700; true; 11600; orange; 1319
FOLDING BIKE Cayman; 24; 21; 12700; false; emerald; 279
SPEEDELEC Peugeot; 20; 19300; true; 14200; red; 1075
SPEEDELEC AirWheel; 35; 9800; false; 10900; rose; 155
E-BIKE Xiaomi; 45; 26100; true; 13000; green; 1269
SPEEDELEC Ultron; 60; 9200; true; 14800; grey; 1549
SPEEDELEC E-Scooter; 35; 8800; false; 14200; beige; 245
E-BIKE Mercedes; 55; 26200; true; 12000; orange; 1765
FOLDING BIKE Brompton; 26; 6; 15400; false; grenadine; 519
SPEEDELEC Kugoo; 55; 11400; false; 12300; lemon; 1325
FOLDING BIKE Make Bike; 26; 1; 13900; false; orange; 705
FOLDING BIKE Formula; 20; 21; 11100; false; rose; 1675
E-BIKE Gazelle; 30; 20400; true; 29000; grenadine; 2195
FOLDING BIKE Formula; 24; 27; 8500; true; flame; 1485
FOLDING BIKE Benetti; 14; 7; 9500; false; grey; 189
SPEEDELEC EcoRide; 25; 9200; true; 3200; dark gray; 289
SPEEDELEC Maraton; 40; 14500; false; 12200; lemon; 885
FOLDING BIKE Comanche; 14; 27; 13400; true; white; 1255
FOLDING BIKE SkyBike; 20; 24; 15800; false; red; 755
E-BIKE SkyBike; 45; 23500; true; 30000; rose; 2245
E-BIKE Scott; 45; 25600; false; 28000; olive; 1215
FOLDING BIKE VNV; 24; 24; 11000; true; coral; 1505
FOLDING BIKE Author; 20; 3; 12800; false; silver; 1505
E-BIKE Haibike; 60; 21400; false; 14000; golden; 2885
SPEEDELEC Aest; 45; 14300; false; 5800; blue; 1049
FOLDING BIKE Author; 20; 24; 14500; true; rose; 509
E-BIKE Lankeleisi; 50; 20500; false; 19000; white; 859
E-BIKE GoCycle; 60; 25400; false; 29000; green; 1495
E-BIKE Ecofect; 35; 28200; false; 9000; brown; 2145
SPEEDELEC Speedelec Minirider; 30; 16900; true; 11000; beige; 985
FOLDING BIKE Trinx; 24; 1; 11300; false; blue; 975
FOLDING BIKE Flex; 24; 6; 16100; false; khaki; 569
E-BIKE Ferrari; 55; 23500; true; 25000; violet; 1649
E-BIKE ElectrO; 35; 19100; false; 31000; golden; 2179
SPEEDELEC Speedway; 10; 19200; true; 6400; black; 399
E-BIKE Koga; 60; 24100; true; 23000; orange; 1485
FOLDING BIKE VNV; 24; 1; 10100; true; red; 575
E-BIKE SkyBike; 45; 21700; true; 10000; black; 2119
SPEEDELEC Kugoo; 15; 21100; false; 9700; flame; 1429
FOLDING BIKE Formula; 14; 1; 13900; false; khaki; 425
E-BIKE SkyBike; 25; 19100; true; 11000; golden; 1125
E-BIKE SkyBike; 30; 28600; false; 20000; green; 2809
FOLDING BIKE Flex; 20; 27; 16300; true; white; 1409
SPEEDELEC Ultron; 35; 21700; false; 14600; orange; 1645
E-BIKE Haibike; 65; 24900; false; 13000; white; 1415
E-BIKE ION; 40; 24700; true; 27000; dark gray; 1989
FOLDING BIKE Stern; 26; 21; 11100; false; orange; 465
FOLDING BIKE Titan; 20; 3; 8200; false; red; 355
SPEEDELEC Booster; 45; 13600; true; 14100; khaki; 865
FOLDING BIKE Stern; 26; 3; 14900; true; beige; 819
E-BIKE Zaxboard; 55; 28800; true; 30000; black; 2395
E-BIKE Lankeleisi; 45; 28800; false; 13000; pink; 1209
FOLDING BIKE Trinx; 20; 27; 8000; true; grey; 885
E-BIKE Rover; 60; 19900; true; 14000; grenadine; 3089
SPEEDELEC Tesla; 25; 18200; false; 10500; khaki; 559
E-BIKE Ecofect; 60; 23100; false; 10000; golden; 1729
SPEEDELEC Segway; 50; 8800; true; 13600; coral; 865
SPEEDELEC Freego; 30; 10100; true; 2600; khaki; 1679
E-BIKE ElectrO; 35; 27000; false; 21000; black; 2735
SPEEDELEC Booster; 50; 10200; false; 2500; green; 1525
FOLDING BIKE Polygon; 24; 3; 16200; true; blue; 655
E-BIKE Ecofect; 25; 23800; true; 16000; beige; 2869
FOLDING BIKE SkyBike; 24; 6; 16800; true; khaki; 445
SPEEDELEC Speedelec Minirider; 65; 14100; true; 5000; white; 1499
E-BIKE Farad; 45; 20100; true; 14000; lemon; 2379
SPEEDELEC Booster; 50; 9300; true; 5600; khaki; 455
SPEEDELEC Kugoo; 45; 9200; false; 8400; dark gray; 1355
SPEEDELEC Kugoo; 30; 13000; false; 4400; black; 489
FOLDING BIKE Cayman; 20; 1; 16800; true; black; 669
SPEEDELEC Speedway; 35; 9400; false; 2400; green; 1419
SPEEDELEC Freego; 30; 16400; false; 6000; blue; 1665
SPEEDELEC Tesla; 45; 20700; false; 14600; olive; 205
E-BIKE Ecofect; 35; 27000; false; 18000; olive; 1989
SPEEDELEC ITrike; 50; 12000; true; 11600; marine; 245
E-BIKE ION; 25; 27700; false; 17000; green; 3235
E-BIKE Koga; 35; 24900; false; 29000; white; 729
SPEEDELEC Tesla; 15; 12200; true; 2300; khaki; 615
FOLDING BIKE BMW; 20; 1; 10500; false; blue; 635
FOLDING BIKE West Bike; 20; 7; 14700; true; golden; 299
FOLDING BIKE West Bike; 18; 6; 15600; false; blue; 1219
E-BIKE Lankeleisi; 60; 28200; false; 15000; coral; 2429
SPEEDELEC Peugeot; 50; 20800; true; 15700; silver; 1279
FOLDING BIKE Polygon; 24; 6; 16400; false; coral; 725
FOLDING BIKE SkyBike; 20; 3; 11900; false; yellow; 1115
SPEEDELEC Tesla; 15; 9500; false; 13200; lemon; 285
SPEEDELEC Freego; 35; 21300; false; 4500; yellow; 779
E-BIKE Haibike; 30; 22700; true; 24000; black; 1085
SPEEDELEC Kugoo; 50; 20300; true; 4400; flame; 299
FOLDING BIKE Titan; 14; 18; 13300; true; emerald; 285
SPEEDELEC OIO; 45; 9700; true; 10500; olive; 785
SPEEDELEC OIO; 15; 7100; true; 9400; rose; 1065
SPEEDELEC OIO; 55; 19900; true; 10900; brown; 435
SPEEDELEC Kugoo; 65; 17700; true; 15100; khaki; 539
FOLDING BIKE Author; 18; 8; 11600; false; red; 279
FOLDING BIKE West Bike; 14; 7; 14700; true; black; 1289
SPEEDELEC Dualtron; 50; 17300; true; 15500; flame; 1549
SPEEDELEC Booster; 10; 20000; false; 11800; dark gray; 1095
FOLDING BIKE Stern; 20; 27; 16500; false; white; 439
SPEEDELEC Dualtron; 60; 20500; false; 15600; golden; 869
SPEEDELEC Ultron; 60; 7000; false; 11400; lemon; 1055
E-BIKE Ferrari; 60; 28900; false; 21000; brown; 825
